numero,grupo_parlamentario,congresista,votacion
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",SINRES
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",ABST
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",NO
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",ABST
5,SP-PM,"ALCARRAZ AGUERO, YOREL KIRA",LE
6,FP,"ALEGRÍA GARCÍA, ARTURO",ABST
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",SINRES
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",ABST
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",SI
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",SI
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",NO
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",ABST
13,SP-PM,"AZURÍN LOAYZA, ALFREDO",SI
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",NO
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",ABST
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI
17,JP,"BAZÁN NARRO, SIGRID TESORO",NO
18,PL,"BELLIDO UGARTE, GUIDO",NO
19,PL,"BERMEJO ROJAS, GUILLERMO",NO
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",SI
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",ABST
22,PP,"CALLE LOBATÓN, DIGNA",NO
23,APP,"CAMONES SORIANO, LADY MERCEDES",LO
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",ABST
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",SI
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",NO
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",ABST
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",LO
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",AUS
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",ABST
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",NO
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",ABST
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",ABST
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",SI
36,JP,"CORTEZ AGUIRRE, ISABEL",NO
37,PL,"CRUZ MAMANI, FLAVIO",ABST
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",SI
39,PL,"CUTIPA CCAMA, VÍCTOR RAÚL",NO
40,PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",NO
41,APP,"DÍAZ MONAGO, FREDDY RONALD",NO
42,AP,"DOROTEO CARBAJO, RAÚL FELIPE",SI
