grupo_parlamentario,congresista,asistencia
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",PRESENTE
UDP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",PRESENTE
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",PRESENTE
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",PRESENTE
PP,"ALCARRAZ AGUERO, YOREL KIRA",PRESENTE
FP,"ALEGRÍA GARCÍA, ARTURO",PRESENTE
AP,"ALVA PRIETO, MARÍA DEL CARMEN",PRESENTE
AP,"ALVA ROJAS, CARLOS ENRIQUE",PRESENTE
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",PRESENTE
NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",PRESENTE
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",PRESENTE
AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",PRESENTE
SP,"AZURÍN LOAYZA, ALFREDO",PRESENTE
PB,"BALCÁZAR ZELADA, JOSÉ MARÍA",PRESENTE
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",PRESENTE
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",PRESENTE
CD-JPP,"BAZÁN NARRO, SIGRID TESORO",PRESENTE
PB,"BELLIDO UGARTE, GUIDO",PRESENTE
CD-JPP,"BERMEJO ROJAS, GUILLERMO",LICENCIA_OFICIAL
UDP,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",PRESENTE
FP,"BUSTAMANTE DONAYRE, ERNESTO",AUSENTE
PP,"CALLE LOBATÓN, DIGNA",AUSENTE
APP,"CAMONES SORIANO, LADY MERCEDES",PRESENTE
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRESENTE
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",PRESENTE
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",PRESENTE
FP,"CHACÓN TRUJILLO, NILZA MERLY",PRESENTE
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRESENTE
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",PRESENTE
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",PRESENTE
PB,"COAYLA JUÁREZ, JORGE SAMUEL",PRESENTE
UDP,"CORDERO JON TAY, LUIS GUSTAVO",PRESENTE
NA,"CORDERO JON TAY, MARÍA DEL PILAR",PRESENTE
CD-JPP,"CORTEZ AGUIRRE, ISABEL",LICENCIA_OFICIAL
PL,"CRUZ MAMANI, FLAVIO",PRESENTE
RP,"CUETO ASERVI, JOSÉ ERNESTO",PRESENTE
PB,"CUTIPA CCAMA, VÍCTOR RAÚL",PRESENTE
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",PRESENTE
AP,"DOROTEO CARBAJO, RAÚL FELIPE",AUSENTE
BM,"DÁVILA ATANACIO, PASIÓN NEOMIAS",PRESENTE
RP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",PRESENTE
CD-JPP,"ECHEVERRÍA RODRÍGUEZ, HAMLET",LICENCIA_OFICIAL
PP,"ELÍAS ÁVALOS, JOSÉ LUIS",PRESENTE
AP,"ESPINOZA VARGAS, JHAEC DARWIN",PRESENTE
AP,"FLORES ANCACHI, JORGE LUIS",AUSENTE
PL,"FLORES RAMÍREZ, ALEX RANDU",PRESENTE
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",PRESENTE
APP,"GARCÍA CORREA, IDELSO MANUEL",PRESENTE
PL,"GONZA CASTILLO, AMERICO",PRESENTE
AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",PRESENTE
FP,"GUERRA GARCÍA, CAMPOS HERNANDO",PRESENTE
BM,"GUTIÉRREZ TICONA, PAUL SILVIO",PRESENTE
APP,"HEIDINGER BALLESTEROS, NELCY",PRESENTE
RP,"HERRERA MEDINA, NOELIA ROSSVITH",PRESENTE
FP,"HUAMÁN CORONADO, RAÚL",LICENCIA_OFICIAL
FP,"INFANTES CASTAÑEDA, MERY ELIANA",PRESENTE
SP,"JERI ORÉ, JOSÉ ENRIQUE",PRESENTE
FP,"JIMÉNEZ HEREDIA, DAVID JULIO",LICENCIA_POR_ENFERMEDAD
APP,"JULON IRIGOIN, ELVA EDHIT",PRESENTE
PP,"JUÁREZ CALLE, HEIDY LISBETH",PRESENTE
FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",PRESENTE
RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",LICENCIA_POR_ENFERMEDAD
CD-JPP,"KAMICHE MORANTE, LUIS ROBERTO",PRESENTE
CD-JPP,"LIMACHI QUISPE, NIEVES ESMERALDA",AUSENTE
FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",PRESENTE
PP,"LUNA GÁLVEZ, JOSÉ LEÓN",PRESENTE
CD-JPP,"LUQUE IBARRA, RUTH",PRESENTE
FP,"LÓPEZ MORALES, JENY LUZ",PRESENTE
AP,"LÓPEZ UREÑA, ILICH FREDY",LICENCIA_PERSONAL
PB,"MARTICORENA MENDOZA, JORGE ALFONSO",PRESENTE
AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",PRESENTE
BM,"MEDINA HERMOSILLA, ELIZABETH SARA",PRESENTE
UDP,"MEDINA MINAYA, ESDRAS RICARDO",PRESENTE
PL,"MITA ALANOCA, ISAAC",PRESENTE
PL,"MONTALVO CUBAS, SEGUNDO TORIBIO",AUSENTE
AP,"MONTEZA FACHO, SILVIA MARÍA",PRESENTE
RP,"MONTOYA MANRIQUE, JORGE CARLOS",PRESENTE
FP,"MORANTE FIGARI, JORGE ALBERTO",PRESENTE
AP,"MORI CELIS, JUAN CARLOS",PRESENTE
FP,"MOYANO DELGADO, MARTHA LUPE",PRESENTE
RP,"MUÑANTE BARRIOS, ALEJANDRO",PRESENTE
NA,"MÁLAGA TRILLO, GEORGE EDWARD",PRESENTE
FP,"OBANDO MORGAN, AURISTELA ANA",AUSENTE
FP,"OLIVOS MARTÍNEZ, VIVIAN",AUSENTE
NA,"PABLO MEDINA, FLOR AIDEE",PRESENTE
RP,"PADILLA ROMERO, JAVIER ROMMEL",PRESENTE
PL,"PALACIOS HUÁMAN, MARGOT",PRESENTE
PP,"PAREDES CASTRO, FRANCIS JHASMINA",AUSENTE
AP,"PAREDES FONSECA, KAROL IVETT",PRESENTE
BM,"PAREDES GONZALES, ALEX ANTONIO",PRESENTE
CD-JPP,"PAREDES PIQUÉ, SUSEL ANA MARÍA",PRESENTE
PL,"PARIONA SINCHE, ALFREDO",LICENCIA_OFICIAL
SP,"PAZO NUNURA, JOSE BERNARDO",PRESENTE
PP,"PICÓN QUEDO, LUIS RAÚL",PRESENTE
PL,"PORTALATINO ÁVALOS, KELLY ROXANA",PRESENTE
AP,"PORTERO LÓPEZ, HILDA MARLENY",PRESENTE
BM,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",PRESENTE
PL,"QUISPE MAMANI, WILSON RUSBEL",PRESENTE
PL,"QUITO SARMIENTO, BERNARDO JAIME",PRESENTE
FP,"RAMÍREZ GARCÍA, TANIA ESTEFANY",PRESENTE
FP,"REVILLA VILLANUEVA, CÉSAR MANUEL",AUSENTE
PL,"REYES CAM, ABEL AUGUSTO",AUSENTE
CD-JPP,"REYMUNDO MERCADO, EDGARD CORNELIO",LICENCIA_OFICIAL
PL,"RIVAS CHACARA, JANET MILAGROS",PRESENTE
PL,"ROBLES ARAUJO, SILVANA EMPERATRIZ",PRESENTE
APP,"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",PRESENTE
SP,"SAAVEDRA CASTERNOQUE, HITLER",LICENCIA_OFICIAL
APP,"SALHUANA CAVIDES, EDUARDO",PRESENTE
AP,"SOTO PALACIOS, WILSON",PRESENTE
APP,"SOTO REYES, ALEJANDRO",PRESENTE
CD-JPP,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",PRESENTE
BM,"TACURI VALDIVIA, GERMÁN ADOLFO",PRESENTE
PL,"TAIPE CORONADO, MARÍA ELIZABETH",LICENCIA_POR_ENFERMEDAD
BM,"TELLO MONTES, NIVARDO EDGAR",PRESENTE
APP,"TORRES SALINAS, ROSIO",PRESENTE
APP,"TRIGOZO REÁTEGUI, CHERYL",PRESENTE
AP-PIS,"TUDELA GUTIÉRREZ, ADRIANA JOSEFINA",PRESENTE
UDP,"UGARTE MAMANI, JHAKELINE KATY",PRESENTE
SP,"VALER PINTO, HÉCTOR",PRESENTE
PB,"VARAS MELÉNDEZ, ELÍAS MARCIAL",AUSENTE
FP,"VENTURA ANGEL, HÉCTOR JOSÉ",PRESENTE
AP,"VERGARA MENDOZA, ELVIS HERNÁN",LICENCIA_OFICIAL
BM,"VÁSQUEZ VELA, LUCINDA",PRESENTE
AP-PIS,"WILLIAMS ZAPATA, JOSÉ DANIEL",PRESENTE
PP,"WONG PUJADA, ENRIQUE",SUSPENDIDO
AP-PIS,"YARROW LUMBRERAS, NORMA MARTINA",PRESENTE
BM,"ZEA CHOQUECHAMBI, OSCAR",PRESENTE
RP,"ZEBALLOS APONTE, JORGE ARTURO",LICENCIA_OFICIAL
PP,"ZEBALLOS MADARIAGA, CARLOS JAVIER",PRESENTE
FP,"ZETA CHUNGA, CRUZ MARÍA",PRESENTE
