metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 08 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/83800189E262A00E05258806006F4B38/$FILE/Asis_vot_OFICIAL_08-03-22.pdf
dia,2022-03-08
hora,11:23
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 327 Y 905, QUE PROPONE MODIFICAR LA LEY 26790, LEY DE MODERNIZACIÓN DE LA SEGURIDAD SOCIAL EN SALUD, PARA ESTABLECER LA COBERTURA INMEDIATA A LA MUJER GESTANTE AFILIADA AL SISTEMA DE SEGURIDAD SOCIAL DE ESSALUD"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
