grupo_parlamentario,congresista,asistencia
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",PRESENTE
APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",AUSENTE
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",PRESENTE
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",PRESENTE
SP,"ALCARRAZ AGUERO, YOREL KIRA",PRESENTE
FP,"ALEGRÍA GARCÍA, ARTURO",PRESENTE
AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUSENTE
AP,"ALVA ROJAS, CARLOS ENRIQUE",PRESENTE
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",AUSENTE
NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",LICENCIA_POR_ENFERMEDAD
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",PRESENTE
AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",PRESENTE
SP,"AZURÍN LOAYZA, ALFREDO",LICENCIA_OFICIAL
PB,"BALCÁZAR ZELADA, JOSÉ MARÍA",PRESENTE
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",PRESENTE
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",PRESENTE
CD-JPP,"BAZÁN NARRO, SIGRID TESORO",PRESENTE
PL,"BELLIDO UGARTE, GUIDO",PRESENTE
PD,"BERMEJO ROJAS, GUILLERMO",AUSENTE
AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",PRESENTE
FP,"BUSTAMANTE DONAYRE, ERNESTO",PRESENTE
PP,"CALLE LOBATÓN, DIGNA",PRESENTE
APP,"CAMONES SORIANO, LADY MERCEDES",AUSENTE
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRESENTE
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",PRESENTE
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",PRESENTE
FP,"CHACÓN TRUJILLO, NILZA MERLY",AUSENTE
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRESENTE
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",PRESENTE
PD,"CHÁVEZ CHINO, BETSSY BETZABET",LICENCIA_PERSONAL
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",PRESENTE
PB,"COAYLA JUÁREZ, JORGE SAMUEL",PRESENTE
FP,"CORDERO JON TAY, LUIS GUSTAVO",PRESENTE
FP,"CORDERO JON TAY, MARÍA DEL PILAR",PRESENTE
CD-JPP,"CORTEZ AGUIRRE, ISABEL",PRESENTE
PL,"CRUZ MAMANI, FLAVIO",PRESENTE
RP,"CUETO ASERVI, JOSÉ ERNESTO",LICENCIA_OFICIAL
PB,"CUTIPA CCAMA, VÍCTOR RAÚL",PRESENTE
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",PRESENTE
AP,"DOROTEO CARBAJO, RAÚL FELIPE",PRESENTE
BM,"DÁVILA ATANACIO, PASIÓN NEOMIAS",PRESENTE
APP,"DÍAZ MONAGO, FREDDY RONALD",PRESENTE
APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",PRESENTE
PD,"ECHEVERRÍA RODRÍGUEZ, HAMLET",LICENCIA_OFICIAL
SP,"ELERA GARCÍA, WILMAR ALBERTO",AUSENTE
PP,"ELÍAS ÁVALOS, JOSÉ LUIS",PRESENTE
AP,"ESPINOZA VARGAS, JHAEC DARWIN",PRESENTE
AP,"FLORES ANCACHI, JORGE LUIS",PRESENTE
PL,"FLORES RAMÍREZ, ALEX RANDU",PRESENTE
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",AUSENTE
APP,"GARCÍA CORREA, IDELSO MANUEL",PRESENTE
PL,"GONZA CASTILLO, AMERICO",AUSENTE
AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",PRESENTE
FP,"GUERRA GARCÍA, CAMPOS HERNANDO",PRESENTE
BM,"GUTIÉRREZ TICONA, PAUL SILVIO",PRESENTE
RP,"HERRERA MEDINA, NOELIA ROSSVITH",PRESENTE
FP,"HUAMÁN CORONADO, RAÚL",PRESENTE
FP,"INFANTES CASTAÑEDA, MERY ELIANA",PRESENTE
SP,"JERI ORÉ, JOSÉ ENRIQUE",PRESENTE
FP,"JIMÉNEZ HEREDIA, DAVID JULIO",PRESENTE
APP,"JULON IRIGOIN, ELVA EDHIT",PRESENTE
APP,"JUÁREZ CALLE, HEIDY LISBETH",AUSENTE
FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",LICENCIA_OFICIAL
RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",PRESENTE
PD,"KAMICHE MORANTE, LUIS ROBERTO",PRESENTE
PD,"LIMACHI QUISPE, NIEVES ESMERALDA",PRESENTE
FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",PRESENTE
PP,"LUNA GÁLVEZ, JOSÉ LEÓN",AUSENTE
CD-JPP,"LUQUE IBARRA, RUTH",PRESENTE
FP,"LÓPEZ MORALES, JENY LUZ",PRESENTE
AP,"LÓPEZ UREÑA, ILICH FREDY",PRESENTE
PB,"MARTICORENA MENDOZA, JORGE ALFONSO",PRESENTE
AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",PRESENTE
BM,"MEDINA HERMOSILLA, ELIZABETH SARA",PRESENTE
RP,"MEDINA MINAYA, ESDRAS RICARDO",AUSENTE
PL,"MONTALVO CUBAS, SEGUNDO TORIBIO",PRESENTE
AP,"MONTEZA FACHO, SILVIA MARÍA",PRESENTE
RP,"MONTOYA MANRIQUE, JORGE CARLOS",PRESENTE
FP,"MORANTE FIGARI, JORGE ALBERTO",PRESENTE
AP,"MORI CELIS, JUAN CARLOS",PRESENTE
FP,"MOYANO DELGADO, MARTHA LUPE",PRESENTE
RP,"MUÑANTE BARRIOS, ALEJANDRO",PRESENTE
NA,"MÁLAGA TRILLO, GEORGE EDWARD",LICENCIA_POR_ENFERMEDAD
FP,"OBANDO MORGAN, AURISTELA ANA",PRESENTE
FP,"OLIVOS MARTÍNEZ, VIVIAN",PRESENTE
NA,"PABLO MEDINA, FLOR AIDEE",PRESENTE
RP,"PADILLA ROMERO, JAVIER ROMMEL",PRESENTE
PL,"PALACIOS HUÁMAN, MARGOT",LICENCIA_POR_ENFERMEDAD
BM,"PAREDES CASTRO, FRANCIS JHASMINA",PRESENTE
AP,"PAREDES FONSECA, KAROL IVETT",PRESENTE
BM,"PAREDES GONZALES, ALEX ANTONIO",PRESENTE
