grupo_parlamentario,congresista,votacion
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",NO
NA,"ACUÑA PERALTA, SEGUNDO HÉCTOR",SI
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",ABSTENCION
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",SI
PP,"ALCARRAZ AGUERO, YOREL KIRA",SI
FP,"ALEGRÍA GARCÍA, ARTURO",ABSTENCION
NA,"ALVA PRIETO, MARÍA DEL CARMEN",NO
NA,"ALVA ROJAS, CARLOS ENRIQUE",AUSENTE
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",SIN_RESPONDER
NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",SI
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",SI
NA,"ARRIOLA TUEROS, JOSÉ ALBERTO",SI
SP,"AZURÍN LOAYZA, ALFREDO",SI
PB,"BALCÁZAR ZELADA, JOSÉ MARÍA",SI
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",AUSENTE
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",NO
CD-JPP,"BAZÁN NARRO, SIGRID TESORO",SI
PB,"BELLIDO UGARTE, GUIDO",SI
CD-JPP,"BERMEJO ROJAS, GUILLERMO",SI
PP,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",SI
FP,"BUSTAMANTE DONAYRE, ERNESTO",ABSTENCION
PP,"CALLE LOBATÓN, DIGNA",SI
APP,"CAMONES SORIANO, LADY MERCEDES",SIN_RESPONDER
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",ABSTENCION
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",NO
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",SI
FP,"CHACÓN TRUJILLO, NILZA MERLY",ABSTENCION
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",NO
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",ABSTENCION
PB,"COAYLA JUÁREZ, JORGE SAMUEL",ABSTENCION
AP,"CORDERO JON TAY, LUIS GUSTAVO",SI
NA,"CORDERO JON TAY, MARÍA DEL PILAR",SUSPENDIDO
CD-JPP,"CORTEZ AGUIRRE, ISABEL",AUSENTE
PL,"CRUZ MAMANI, FLAVIO",SI
RP,"CUETO ASERVI, JOSÉ ERNESTO",NO
CD-JPP,"CUTIPA CCAMA, VÍCTOR RAÚL",SI
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",NO
AP,"DOROTEO CARBAJO, RAÚL FELIPE",AUSENTE
BM,"DÁVILA ATANACIO, PASIÓN NEOMIAS",SI
RP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",ABSTENCION
CD-JPP,"ECHEVERRÍA RODRÍGUEZ, HAMLET",ABSTENCION
PP,"ELÍAS ÁVALOS, JOSÉ LUIS",ABSTENCION
AP,"ESPINOZA VARGAS, JHAEC DARWIN",SI
AP,"FLORES ANCACHI, JORGE LUIS",SI
NA,"FLORES RAMÍREZ, ALEX RANDU",SI
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",ABSTENCION
APP,"GARCÍA CORREA, IDELSO MANUEL",NO
PL,"GONZA CASTILLO, AMERICO",SI
AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",NO
BM,"GUTIÉRREZ TICONA, PAUL SILVIO",AUSENTE
APP,"HEIDINGER BALLESTEROS, NELCY",NO
RP,"HERRERA MEDINA, NOELIA ROSSVITH",NO
FP,"HUAMÁN CORONADO, RAÚL",ABSTENCION
FP,"INFANTES CASTAÑEDA, MERY ELIANA",ABSTENCION
SP,"JERI ORÉ, JOSÉ ENRIQUE",SI
FP,"JIMÉNEZ HEREDIA, DAVID JULIO",ABSTENCION
APP,"JULON IRIGOIN, ELVA EDHIT",NO
PP,"JUÁREZ CALLE, HEIDY LISBETH",AUSENTE
FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",ABSTENCION
RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",NO
CD-JPP,"KAMICHE MORANTE, LUIS ROBERTO",SI
CD-JPP,"LIMACHI QUISPE, NIEVES ESMERALDA",AUSENTE
FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",AUSENTE
PP,"LUNA GÁLVEZ, JOSÉ LEÓN",AUSENTE
CD-JPP,"LUQUE IBARRA, RUTH",SI
FP,"LÓPEZ MORALES, JENY LUZ",ABSTENCION
NA,"LÓPEZ UREÑA, ILICH FREDY",SI
PB,"MARTICORENA MENDOZA, JORGE ALFONSO",ABSTENCION
NA,"MARTÍNEZ TALAVERA, PEDRO EDWIN",NO
BM,"MEDINA HERMOSILLA, ELIZABETH SARA",SI
NA,"MEDINA MINAYA, ESDRAS RICARDO",ABSTENCION
PL,"MITA ALANOCA, ISAAC",SI
PL,"MONTALVO CUBAS, SEGUNDO TORIBIO",SI
NA,"MONTEZA FACHO, SILVIA MARÍA",NO
RP,"MONTOYA MANRIQUE, JORGE CARLOS",NO
FP,"MORANTE FIGARI, JORGE ALBERTO",ABSTENCION
NA,"MORI CELIS, JUAN CARLOS",SI
FP,"MOYANO DELGADO, MARTHA LUPE",ABSTENCION
RP,"MUÑANTE BARRIOS, ALEJANDRO",NO
NA,"MÁLAGA TRILLO, GEORGE EDWARD",NO
FP,"OBANDO MORGAN, AURISTELA ANA",ABSTENCION
FP,"OLIVOS MARTÍNEZ, VIVIAN",ABSTENCION
NA,"PABLO MEDINA, FLOR AIDEE",SI
RP,"PADILLA ROMERO, JAVIER ROMMEL",SI
PL,"PALACIOS HUÁMAN, MARGOT",SI
PP,"PAREDES CASTRO, FRANCIS JHASMINA",ABSTENCION
NA,"PAREDES FONSECA, KAROL IVETT",NO
BM,"PAREDES GONZALES, ALEX ANTONIO",NO
CD-JPP,"PAREDES PIQUÉ, SUSEL ANA MARÍA",SI
NA,"PARIONA SINCHE, ALFREDO",NO
SP,"PAZO NUNURA, JOSE BERNARDO",SI
PP,"PICÓN QUEDO, LUIS RAÚL",SI
PL,"PORTALATINO ÁVALOS, KELLY ROXANA",SI
AP,"PORTERO LÓPEZ, HILDA MARLENY",LICENCIA_POR_ENFERMEDAD
BM,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",ABSTENCION
PL,"QUISPE MAMANI, WILSON RUSBEL",AUSENTE
NA,"QUITO SARMIENTO, BERNARDO JAIME",SI
FP,"RAMÍREZ GARCÍA, TANIA ESTEFANY",ABSTENCION
FP,"REVILLA VILLANUEVA, CÉSAR MANUEL",ABSTENCION
PL,"REYES CAM, ABEL AUGUSTO",AUSENTE
CD-JPP,"REYMUNDO MERCADO, EDGARD CORNELIO",SI
PL,"RIVAS CHACARA, JANET MILAGROS",SI
NA,"ROBLES ARAUJO, SILVANA EMPERATRIZ",SI
FP,"ROSPIGLIOSI CAPURRO, FERNANDO MIGUEL",ABSTENCION
APP,"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",NO
SP,"SAAVEDRA CASTERNOQUE, HITLER",SI
APP,"SALHUANA CAVIDES, EDUARDO",AUSENTE
AP,"SOTO PALACIOS, WILSON",SI
APP,"SOTO REYES, ALEJANDRO",SIN_RESPONDER
CD-JPP,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",SI
BM,"TACURI VALDIVIA, GERMÁN ADOLFO",SI
PL,"TAIPE CORONADO, MARÍA ELIZABETH",AUSENTE
BM,"TELLO MONTES, NIVARDO EDGAR",SI
APP,"TORRES SALINAS, ROSIO",NO
APP,"TRIGOZO REÁTEGUI, CHERYL",NO
AP-PIS,"TUDELA GUTIÉRREZ, ADRIANA JOSEFINA",AUSENTE
NA,"UGARTE MAMANI, JHAKELINE KATY",ABSTENCION
SP,"VALER PINTO, HÉCTOR",SI
PB,"VARAS MELÉNDEZ, ELÍAS MARCIAL",AUSENTE
FP,"VENTURA ANGEL, HÉCTOR JOSÉ",ABSTENCION
AP,"VERGARA MENDOZA, ELVIS HERNÁN",SI
BM,"VÁSQUEZ VELA, LUCINDA",SI
AP-PIS,"WILLIAMS ZAPATA, JOSÉ DANIEL",NO
PP,"WONG PUJADA, ENRIQUE",SI
AP-PIS,"YARROW LUMBRERAS, NORMA MARTINA",NO
BM,"ZEA CHOQUECHAMBI, OSCAR",SI
RP,"ZEBALLOS APONTE, JORGE ARTURO",NO
PP,"ZEBALLOS MADARIAGA, CARLOS JAVIER",NO
FP,"ZETA CHUNGA, CRUZ MARÍA",ABSTENCION
