metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1BF7AD99878BDBB70525873E00044D38/$FILE/Asis_vot_OFICIAL_12_08_21.pdf
dia,2021-08-12
hora,12:46
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 007, QUE PROPONE CONFORMAR UNA COMISIÓN INVESTIGADORA QUE INVESTIGUE LAS PRESUNTAS IRREGULARIDADES Y POSIBLES ACTOS DE CORRUPCIÓN EN LA GESTIÓN DE LAS CONTRATACIONES Y ADQUISIONES DE BIENES Y SERVICIOS REALIZADAS POR EL SEGURO SOCIAL DE SALUD - ESSADLU DURANTE EL PERIODO DE EMERGENCIA SANITARIA NACIONAL POR MOTICO DEL COVID-19, DESDE MARZO DE 2020 HASTA LA ACTUALIDAD. "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
