grupo_parlamentario,congresista,votacion
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",SIN_RESPONDER
APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",ABSTENCION
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",AUSENTE
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",NO
SP,"ALCARRAZ AGUERO, YOREL KIRA",NO
FP,"ALEGRÍA GARCÍA, ARTURO",SI
AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUSENTE
AP,"ALVA ROJAS, CARLOS ENRIQUE",ABSTENCION
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",AUSENTE
PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",LICENCIA_OFICIAL
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",ABSTENCION
AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",NO
SP,"AZURÍN LOAYZA, ALFREDO",SI
PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",NO
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",AUSENTE
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI
JP,"BAZÁN NARRO, SIGRID TESORO",NO
PL,"BELLIDO UGARTE, GUIDO",NO
PL,"BERMEJO ROJAS, GUILLERMO",NO
AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",SI
FP,"BUSTAMANTE DONAYRE, ERNESTO",SI
PP,"CALLE LOBATÓN, DIGNA",NO
APP,"CAMONES SORIANO, LADY MERCEDES",SIN_RESPONDER
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",SI
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",AUSENTE
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",NO
FP,"CHACÓN TRUJILLO, NILZA MERLY",SI
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",SI
PL,"CHÁVEZ CHINO, BETSSY BETZABET",LICENCIA_OFICIAL
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI
PL,"COAYLA JUÁREZ, JORGE SAMUEL",AUSENTE
FP,"CORDERO JON TAY, LUIS GUSTAVO",SI
FP,"CORDERO JON TAY, MARÍA DEL PILAR",SI
JP,"CORTEZ AGUIRRE, ISABEL",NO
PL,"CRUZ MAMANI, FLAVIO",NO
RP,"CUETO ASERVI, JOSÉ ERNESTO",SI
PL,"CUTIPA CCAMA, VÍCTOR RAÚL",NO
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",SI
AP,"DOROTEO CARBAJO, RAÚL FELIPE",NO
PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",NO
APP,"DÍAZ MONAGO, FREDDY RONALD",SI
APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",SI
PL,"ECHEVERRÍA RODRÍGUEZ, HAMLET",NO
SP,"ELERA GARCÍA, WILMAR ALBERTO",NO
PP,"ELÍAS ÁVALOS, JOSÉ LUIS",SI
AP,"ESPINOZA VARGAS, JHAEC DARWIN",NO
AP,"FLORES ANCACHI, JORGE LUIS",NO
PL,"FLORES RAMÍREZ, ALEX RANDU",NO
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",SI
