grupo_parlamentario,congresista,votacion
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",SI
ID,"ACUÑA PERALTA, SEGUNDO HÉCTOR",NO
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",NO
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",SI
ID,"ALCARRAZ AGUERO, YOREL KIRA",SI
FP,"ALEGRÍA GARCÍA, ARTURO",NO
AP,"ALVA PRIETO, MARÍA DEL CARMEN",NO
ID,"ALVA ROJAS, CARLOS ENRIQUE",NO
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",NO
NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",NO
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",NO
AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",SI
SP,"AZURÍN LOAYZA, ALFREDO",NO
PB,"BALCÁZAR ZELADA, JOSÉ MARÍA",SI
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",NO
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",NO
CD-JPP,"BAZÁN NARRO, SIGRID TESORO",SI
PL,"BELLIDO UGARTE, GUIDO",SI
PD,"BERMEJO ROJAS, GUILLERMO",SI
PP,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",NO
FP,"BUSTAMANTE DONAYRE, ERNESTO",LICENCIA_POR_ENFERMEDAD
PP,"CALLE LOBATÓN, DIGNA",NO
APP,"CAMONES SORIANO, LADY MERCEDES",SIN_RESPONDER
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",NO
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",NO
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",SI
FP,"CHACÓN TRUJILLO, NILZA MERLY",NO
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",NO
PD,"CHÁVEZ CHINO, BETSSY BETZABET",LICENCIA_OFICIAL
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",NO
PB,"COAYLA JUÁREZ, JORGE SAMUEL",SI
FP,"CORDERO JON TAY, LUIS GUSTAVO",NO
FP,"CORDERO JON TAY, MARÍA DEL PILAR",NO
CD-JPP,"CORTEZ AGUIRRE, ISABEL",SI
PL,"CRUZ MAMANI, FLAVIO",SI
RP,"CUETO ASERVI, JOSÉ ERNESTO",NO
PB,"CUTIPA CCAMA, VÍCTOR RAÚL",SI
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",NO
AP,"DOROTEO CARBAJO, RAÚL FELIPE",SI
BM,"DÁVILA ATANACIO, PASIÓN NEOMIAS",SI
NA,"DÍAZ MONAGO, FREDDY RONALD",SI
RP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",NO
PD,"ECHEVERRÍA RODRÍGUEZ, HAMLET",LICENCIA_POR_ENFERMEDAD
SP,"ELERA GARCÍA, WILMAR ALBERTO",AUSENTE
PP,"ELÍAS ÁVALOS, JOSÉ LUIS",NO
AP,"ESPINOZA VARGAS, JHAEC DARWIN",SI
AP,"FLORES ANCACHI, JORGE LUIS",NO
PL,"FLORES RAMÍREZ, ALEX RANDU",SI
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",NO
APP,"GARCÍA CORREA, IDELSO MANUEL",NO
PL,"GONZA CASTILLO, AMERICO",SI
AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",NO
FP,"GUERRA GARCÍA, CAMPOS HERNANDO",NO
BM,"GUTIÉRREZ TICONA, PAUL SILVIO",SI
RP,"HERRERA MEDINA, NOELIA ROSSVITH",SI
FP,"HUAMÁN CORONADO, RAÚL",NO
FP,"INFANTES CASTAÑEDA, MERY ELIANA",NO
SP,"JERI ORÉ, JOSÉ ENRIQUE",AUSENTE
FP,"JIMÉNEZ HEREDIA, DAVID JULIO",NO
APP,"JULON IRIGOIN, ELVA EDHIT",SI
APP,"JUÁREZ CALLE, HEIDY LISBETH",NO
FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",NO
RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",NO
PD,"KAMICHE MORANTE, LUIS ROBERTO",SI
PD,"LIMACHI QUISPE, NIEVES ESMERALDA",LICENCIA_OFICIAL
FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",NO
PP,"LUNA GÁLVEZ, JOSÉ LEÓN",SI
CD-JPP,"LUQUE IBARRA, RUTH",SI
FP,"LÓPEZ MORALES, JENY LUZ",NO
AP,"LÓPEZ UREÑA, ILICH FREDY",NO
PB,"MARTICORENA MENDOZA, JORGE ALFONSO",LICENCIA_POR_ENFERMEDAD
AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",NO
BM,"MEDINA HERMOSILLA, ELIZABETH SARA",NO
SP,"MEDINA MINAYA, ESDRAS RICARDO",NO
PL,"MONTALVO CUBAS, SEGUNDO TORIBIO",SI
AP,"MONTEZA FACHO, SILVIA MARÍA",NO
RP,"MONTOYA MANRIQUE, JORGE CARLOS",NO
FP,"MORANTE FIGARI, JORGE ALBERTO",NO
AP,"MORI CELIS, JUAN CARLOS",NO
FP,"MOYANO DELGADO, MARTHA LUPE",NO
RP,"MUÑANTE BARRIOS, ALEJANDRO",ABSTENCION
NA,"MÁLAGA TRILLO, GEORGE EDWARD",NO
FP,"OBANDO MORGAN, AURISTELA ANA",NO
FP,"OLIVOS MARTÍNEZ, VIVIAN",NO
ID,"PABLO MEDINA, FLOR AIDEE",NO
