metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 10 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/70594223943131300525880600718C06/$FILE/Asis_vot_OFICIAL_10-03-22.pdf
dia,2022-03-10
hora,18:31
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL NUEVO TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 738 (ACTUALIZADO), QUE PROPONE LA LEY QUE MODIFICA EL DECRETO LEGISLATIVO 1154, DECRETO LEGISLATIVO QUE AUTORIZA LOS SERVICIOS COMPLEMENTARIOS EN SALUD, PARA MEJORAR LA COBERTURA DE LOS SERVICIOS DE SALUD EN EL SERVICIO PÚBLICO"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,60
