metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencias y votaciones de la sesión del 19-10-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A4BB77365A4E02B805258779006BE30E/$FILE/Asis_vot_OFICIAL_19.10.21.pdf
dia,2021-10-19
hora,20:13
asunto,"CUADRO NOMINATIVO DE LA COMISIÓN ESPECIAL DE SEGUIMIENTO A EMERGENCIAS Y GESTIÓN DE RIESGOS DE DESASTRES (MOCION 114 Y 195) CON EL OBJETO DE FACILITAR LAS ACCIONES DEL EJECUTIVO DENTRO DE LAS ATRIBUCIONES DEL CONGRESO DE LA REPÚBLICA PARA LOGRAR ATENCIÓN INMEDIATA DE LAS MEDIDAS DICTADAS; APOYAR SU EJECUCIÓN, INVESTIGAR Y FISCALIZAR EL USO DE LOS RECURSOS DE MANERA EFICIENTE, ASIGNADOS A LAS ACTIVIDADES PARA EL CUMPLIMIENTO DEL PLAN"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
