numero,grupo_parlamentario,congresista,votacion
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",SI
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",AUS
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",NO
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",SI
5,SP,"ALCARRAZ AGUERO, YOREL KIRA",SI
6,FP,"ALEGRÍA GARCÍA, ARTURO",SI
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUS
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",SI
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",AUS
10,NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",AUS
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",SI
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",AUS
13,SP,"AZURÍN LOAYZA, ALFREDO",SI
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",NO
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",SI
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SINRES
17,CD-JPP,"BAZÁN NARRO, SIGRID TESORO",NO
18,PL,"BELLIDO UGARTE, GUIDO",AUS
19,PD,"BERMEJO ROJAS, GUILLERMO",NO
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",SINRES
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",SI
22,NA,"CALLE LOBATÓN, DIGNA",SI
23,APP,"CAMONES SORIANO, LADY MERCEDES",AUS
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",SI
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",SI
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",NO
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",SI
28,PD,"CHÁVEZ CHINO, BETSSY BETZABET",LO
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",AUS
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",NO
