metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 12 de mayo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D440D45308F396F20525884400726192/$FILE/Asis_vot_OFICIAL_12-05-22.pdf
dia,2022-05-12
hora,23:21
asunto,"INFORME PRELIMINAR DE LA COMISIÓN DE FISCALIZACIÓN CON FACULTADES DE COMISIÓN INVESTIGADORA, SOBRE LOS HECHOS ILÍCITOS DE VULNERACIÓN AL PRINCIPIO DE TRANSPARENCIA  EN LA ACTUACIÓN Y DESEMPEÑO DEL CARGO DEL PRESIDENTE DE LA REPÚBLICA, DEL SR. JOSÉ PEDRO CASTILLO TERRONES, Y DEL EXSECRETARIO GENERAL DEL DESPACHO PRESIDENCIAL, SR. BRUNO PACHECO CASTILLO (MOCIÓN 1412), MEDIANTE EL CUAL SOLICITA UN PLAZO ADICIONAL DE 30 DÍAS HÁBILES"
presidente,"WONG PUJADA, ENRIQUE"
quorum,64
