numero,grupo_parlamentario,congresista,votacion
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",NO
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",NO
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",SI
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",NO
5,SP,"ALCARRAZ AGUERO, YOREL KIRA",NO
6,FP,"ALEGRÍA GARCÍA, ARTURO",NO
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",SINRES
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",NO
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",NO
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",AUS
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",NO
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",AUS
13,SP,"AZURÍN LOAYZA, ALFREDO",NO
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",SI
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",NO
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",NO
17,JP,"BAZÁN NARRO, SIGRID TESORO",SI
18,PL,"BELLIDO UGARTE, GUIDO",SI
19,PL,"BERMEJO ROJAS, GUILLERMO",SI
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUS
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",NO
22,PP,"CALLE LOBATÓN, DIGNA",NO
23,APP,"CAMONES SORIANO, LADY MERCEDES",NO
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",NO
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",SINRES
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",SI
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",NO
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",SI
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",NO
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",NO
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",NO
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",SI
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",NO
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",NO
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",NO
36,JP,"CORTEZ AGUIRRE, ISABEL",SI
37,PL,"CRUZ MAMANI, FLAVIO",SI
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",NO
39,PL,"CUTIPA CCAMA, VÍCTOR RAÚL",SI
40,PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",SI
41,APP,"DÍAZ MONAGO, FREDDY RONALD",NO
42,AP,"DOROTEO CARBAJO, RAÚL FELIPE",NO
43,APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",NO
44,PL,"ECHEVERRÍA RODRÍGUEZ, HAMLET",AUS
45,SP,"ELERA GARCÍA, WILMAR ALBERTO",LO
46,PP,"ELÍAS ÁVALOS, JOSÉ LUIS",NO
47,AP,"ESPINOZA VARGAS, JHAEC DARWIN",NO
48,AP,"FLORES ANCACHI, JORGE LUIS",NO
49,PL,"FLORES RAMÍREZ, ALEX RANDU",LO
50,FP,"FLORES RUÍZ, VÍCTOR SEFERINO",NO
51,APP,"GARCÍA CORREA, IDELSO MANUEL",NO
52,PL,"GONZA CASTILLO, AMERICO",SINRES
53,AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",NO
54,FP,"GUERRA GARCÍA, CAMPOS HERNANDO",NO
55,PL,"GUTIÉRREZ TICONA, PAUL SILVIO",SI
56,RP,"HERRERA MEDINA, NOELIA ROSSVITH",NO
57,FP,"HUAMÁN CORONADO, RAÚL",NO
58,FP,"INFANTES CASTAÑEDA, MERY ELIANA",LE
59,RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",NO
60,SP,"JERI ORÉ, JOSÉ ENRIQUE",NO
61,FP,"JIMÉNEZ HEREDIA, DAVID JULIO",NO
62,APP,"JUÁREZ CALLE, HEIDY LISBETH",LO
63,FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",NO
64,APP,"JULON IRIGOIN, ELVA EDHIT",LE
65,PL,"KAMICHE MORANTE, LUIS ROBERTO",LE
66,PL,"LIMACHI QUISPE, NIEVES ESMERALDA",SI
67,FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",AUS
68,FP,"LÓPEZ MORALES, JENY LUZ",NO
69,AP,"LÓPEZ UREÑA, ILICH FREDY",NO
70,PP,"LUNA GÁLVEZ, JOSÉ LEÓN",AUS
71,JP,"LUQUE IBARRA, RUTH",LE
72,NA,"MÁLAGA TRILLO, GEORGE EDWARD",NO
73,PL,"MARTICORENA MENDOZA, JORGE ALFONSO",NO
74,AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",NO
75,PL,"MEDINA HERMOSILLA, ELIZABETH SARA",SI
