numero,grupo_parlamentario,congresista,votacion
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",SI
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",SI
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",NO
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",SI
5,SP-PM,"ALCARRAZ AGUERO, YOREL KIRA",LE
6,FP,"ALEGRÍA GARCÍA, ARTURO",SI
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUS
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",SI
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",SI
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",SI
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",SI
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",AUS
13,SP-PM,"AZURÍN LOAYZA, ALFREDO",SI
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",SINRES
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",SI
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI
17,JP,"BAZÁN NARRO, SIGRID TESORO",SI
18,PL,"BELLIDO UGARTE, GUIDO",NO
19,PL,"BERMEJO ROJAS, GUILLERMO",NO
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUS
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",SI
22,PP,"CALLE LOBATÓN, DIGNA",SI
23,APP,"CAMONES SORIANO, LADY MERCEDES",LO
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",SI
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",AUS
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",NO
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",SI
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",LO
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",SI
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",NO
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",SI
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",SI
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",SI
36,JP,"CORTEZ AGUIRRE, ISABEL",SI
37,PL,"CRUZ MAMANI, FLAVIO",NO
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",SI
39,PL,"CUTIPA CCAMA, VÍCTOR RAÚL",NO
40,PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",SINRES
41,APP,"DÍAZ MONAGO, FREDDY RONALD",SI
42,AP,"DOROTEO CARBAJO, RAÚL FELIPE",SI
43,APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",ABST
44,PL,"ECHEVERRÍA RODRÍGUEZ, HAMLET",NO
45,SP-PM,"ELERA GARCÍA, WILMAR ALBERTO",SI
46,PP,"ELÍAS ÁVALOS, JOSÉ LUIS",SI
47,AP,"ESPINOZA VARGAS, JHAEC DARWIN",SI
48,AP,"FLORES ANCACHI, JORGE LUIS",SI
49,PL,"FLORES RAMÍREZ, ALEX RANDU",LE
50,FP,"FLORES RUÍZ, VÍCTOR SEFERINO",SI
51,APP,"GARCÍA CORREA, IDELSO MANUEL",SI
52,PL,"GONZA CASTILLO, AMERICO",NO
53,AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",SI
54,FP,"GUERRA GARCÍA, CAMPOS HERNANDO",SI
55,PL,"GUTIÉRREZ TICONA, PAUL SILVIO",SINRES
56,RP,"HERRERA MEDINA, NOELIA ROSSVITH",SI
57,FP,"HUAMÁN CORONADO, RAÚL",LO
58,FP,"INFANTES CASTAÑEDA, MERY ELIANA",SI
59,RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",SI
60,SP-PM,"JERI ORÉ, JOSÉ ENRIQUE",SI
61,FP,"JIMÉNEZ HEREDIA, DAVID JULIO",SI
62,APP,"JUÁREZ CALLE, HEIDY LISBETH",LO
63,FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",SI
64,APP,"JULON IRIGOIN, ELVA EDHIT",LE
65,PL,"KAMICHE MORANTE, LUIS ROBERTO",NO
66,PL,"LIMACHI QUISPE, NIEVES ESMERALDA",NO
67,FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",AUS
68,FP,"LÓPEZ MORALES, JENY LUZ",SI
69,AP,"LÓPEZ UREÑA, ILICH FREDY",SI
70,PP,"LUNA GÁLVEZ, JOSÉ LEÓN",AUS
