metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión del 25-11-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8E994F8F536746ED0525879C005CEF29/$FILE/Asis_vot_OFICIAL_25-11-2021.pdf
dia,2021-11-25
hora,22:01
asunto,"CUADRO NOMINATIVO DE LA COMISIÓN INVESTIGADORA MULTIPARTIDARIA ENCARGADA DE INVESTIGAR LA ATENCIÓN A LOS NIÑOS Y FAMILIAS AFECTADAS CON EL EXCESO DE PLOMO, ARSÉNICO, MERCURIO Y DEMAS METALES TÓXICOS EN LA SANGRE, EN LAS ZONAS MINERAS DE PASCO Y EL PERÚ (MOCIÓN DE ORDEN DEL DIA 481)"
presidente,"CAMONES SORIANO, LADY MERCEDES "
quorum,65
