grupo_parlamentario,congresista,asistencia
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",AUSENTE
APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",AUSENTE
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",PRESENTE
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",PRESENTE
SP,"ALCARRAZ AGUERO, YOREL KIRA",PRESENTE
FP,"ALEGRÍA GARCÍA, ARTURO",PRESENTE
AP,"ALVA PRIETO, MARÍA DEL CARMEN",PRESENTE
AP,"ALVA ROJAS, CARLOS ENRIQUE",PRESENTE
APAIS,"AMURUZ DULANTO, YESSICA ROSSELLI",AUSENTE
PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",AUSENTE
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",AUSENTE
AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",AUSENTE
SP,"AZURÍN LOAYZA, ALFREDO",PRESENTE
PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",AUSENTE
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",PRESENTE
RP,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",AUSENTE
JP,"BAZÁN NARRO, SIGRID TESORO",PRESENTE
PL,"BELLIDO UGARTE, GUIDO",PRESENTE
PL,"BERMEJO ROJAS, GUILLERMO",AUSENTE
APAIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUSENTE
FP,"BUSTAMANTE DONAYRE, ERNESTO",PRESENTE
PP,"CALLE LOBATÓN, DIGNA",AUSENTE
APP,"CAMONES SORIANO, LADY MERCEDES",AUSENTE
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRESENTE
APAIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",PRESENTE
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",PRESENTE
FP,"CHACÓN TRUJILLO, NILZA MERLY",PRESENTE
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRESENTE
APAIS,"CHIRINOS VENEGAS, PATRICIA ROSA",PRESENTE
PL,"CHÁVEZ CHINO, BETSSY BETZABET",AUSENTE
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",PRESENTE
PL,"COAYLA JUÁREZ, JORGE SAMUEL",PRESENTE
FP,"CORDERO JON TAY, LUIS GUSTAVO",PRESENTE
FP,"CORDERO JON TAY, MARÍA DEL PILAR",PRESENTE
JP,"CORTEZ AGUIRRE, ISABEL",PRESENTE
PL,"CRUZ MAMANI, FLAVIO",PRESENTE
RP,"CUETO ASERVI, JOSÉ ERNESTO",PRESENTE
PL,"CUTIPA CCAMA, VÍCTOR RAÚL",PRESENTE
RP,"CÓRDOVA LOBATÓN, MARÍA JESSICA",AUSENTE
AP,"DOROTEO CARBAJO, RAÚL FELIPE",AUSENTE
PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",PRESENTE
APP,"DÍAZ MONAGO, FREDDY RONALD",PRESENTE
APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",AUSENTE
PL,"ECHEVERRÍA RODRÍGUEZ, HAMLET",PRESENTE
SP,"ELERA GARCÍA, WILMAR ALBERTO",PRESENTE
PP,"ELÍAS ÁVALOS, JOSÉ LUIS",AUSENTE
AP,"ESPINOZA VARGAS, JHAEC DARWIN",AUSENTE
AP,"FLORES ANCACHI, JORGE LUIS",PRESENTE
PL,"FLORES RAMÍREZ, ALEX RANDU",AUSENTE
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",PRESENTE
APP,"GARCÍA CORREA, IDELSO MANUEL",PRESENTE
PL,"GONZA CASTILLO, AMERICO",PRESENTE
APAIS,"GONZALES DELGADO, DIANA CAROLINA",AUSENTE
FP,"GUERRA GARCÍA, CAMPOS HERNANDO",PRESENTE
PL,"GUTIÉRREZ TICONA, PAUL SILVIO",AUSENTE
PL,"HERRERA MAMANI, FERNANDO MARIO",AUSENTE
RP,"HERRERA MEDINA, NOELIA ROSSVITH",PRESENTE
FP,"HUAMÁN CORONADO, RAÚL",PRESENTE
FP,"INFANTES CASTAÑEDA, MERY ELIANA",PRESENTE
SP,"JERI ORÉ, JOSÉ ENRIQUE",PRESENTE
FP,"JIMÉNEZ HEREDIA, DAVID JULIO",AUSENTE
APP,"JULON IRIGOIN, ELVA EDHIT",PRESENTE
APP,"JUÁREZ CALLE, HEIDY LISBETH",AUSENTE
FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",PRESENTE
RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",AUSENTE
PL,"KAMICHE MORANTE, LUIS ROBERTO",AUSENTE
FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",PRESENTE
PP,"LUNA GÁLVEZ, JOSÉ LEÓN",AUSENTE
JP,"LUQUE IBARRA, RUTH",PRESENTE
FP,"LÓPEZ MORALES, JENY LUZ",PRESENTE
AP,"LÓPEZ UREÑA, ILICH FREDY",AUSENTE
PL,"MARTICORENA MENDOZA, JORGE ALFONSO",PRESENTE
AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",AUSENTE
PL,"MEDINA HERMOSILLA, ELIZABETH SARA",PRESENTE
RP,"MEDINA MINAYA, ESDRAS RICARDO",PRESENTE
PL,"MONTALVO CUBAS, SEGUNDO TORIBIO",AUSENTE
AP,"MONTEZA FACHO, SILVIA MARÍA",AUSENTE
RP,"MONTOYA MANRIQUE, JORGE CARLOS",PRESENTE
FP,"MORANTE FIGARI, JORGE ALBERTO",PRESENTE
AP,"MORI CELIS, JUAN CARLOS",PRESENTE
FP,"MOYANO DELGADO, MARTHA LUPE",PRESENTE
RP,"MUÑANTE BARRIOS, ALEJANDRO",PRESENTE
NA,"MÁLAGA TRILLO, GEORGE EDWARD",AUSENTE
FP,"OBANDO MORGAN, AURISTELA ANA",PRESENTE
FP,"OLIVOS MARTÍNEZ, VIVIAN",AUSENTE
NA,"PABLO MEDINA, FLOR AIDEE",PRESENTE
RP,"PADILLA ROMERO, JAVIER ROMMEL",PRESENTE
PL,"PALACIOS HUÁMAN, MARGOT",PRESENTE
PL,"PAREDES CASTRO, FRANCIS JHASMINA",PRESENTE
AP,"PAREDES FONSECA, KAROL IVETT",PRESENTE
PL,"PAREDES GONZALES, ALEX ANTONIO",PRESENTE
NA,"PAREDES PIQUÉ, SUSEL ANA MARÍA",PRESENTE
PL,"PARIONA SINCHE, ALFREDO",PRESENTE
APP,"PICÓN QUEDO, LUIS RAÚL",AUSENTE
PL,"PORTALATINO ÁVALOS, KELLY ROXANA",PRESENTE
AP,"PORTERO LÓPEZ, HILDA MARLENY",AUSENTE
PL,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",AUSENTE
PL,"QUISPE MAMANI, WILSON RUSBEL",PRESENTE
PL,"QUITO SARMIENTO, BERNARDO JAIME",PRESENTE
FP,"RAMÍREZ GARCÍA, TANIA ESTEFANY",AUSENTE
FP,"REVILLA VILLANUEVA, CÉSAR MANUEL",AUSENTE
PL,"REYES CAM, ABEL AUGUSTO",PRESENTE
JP,"REYMUNDO MERCADO, EDGARD CORNELIO",PRESENTE
PL,"RIVAS CHACARA, JANET MILAGROS",AUSENTE
PL,"ROBLES ARAUJO, SILVANA EMPERATRIZ",AUSENTE
APP,"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",AUSENTE
SP,"SAAVEDRA CASTERNOQUE, HITLER",PRESENTE
APP,"SALHUANA CAVIDES, EDUARDO",PRESENTE
AP,"SOTO PALACIOS, WILSON",PRESENTE
APP,"SOTO REYES, ALEJANDRO",AUSENTE
JP,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",PRESENTE
PL,"TACURI VALDIVIA, GERMÁN ADOLFO",AUSENTE
PL,"TAIPE CORONADO, MARÍA ELIZABETH",AUSENTE
PL,"TELLO MONTES, NIVARDO EDGAR",PRESENTE
