grupo_parlamentario,congresista,asistencia
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",PRESENTE
APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",PRESENTE
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",PRESENTE
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",LICENCIA_POR_ENFERMEDAD
SP,"ALCARRAZ AGUERO, YOREL KIRA",PRESENTE
FP,"ALEGRÍA GARCÍA, ARTURO",PRESENTE
AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUSENTE
AP,"ALVA ROJAS, CARLOS ENRIQUE",AUSENTE
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",PRESENTE
NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",PRESENTE
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",LICENCIA_OFICIAL
AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",PRESENTE
SP,"AZURÍN LOAYZA, ALFREDO",PRESENTE
PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",AUSENTE
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",PRESENTE
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",PRESENTE
CD,"BAZÁN NARRO, SIGRID TESORO",PRESENTE
PL,"BELLIDO UGARTE, GUIDO",PRESENTE
PD,"BERMEJO ROJAS, GUILLERMO",PRESENTE
AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",PRESENTE
FP,"BUSTAMANTE DONAYRE, ERNESTO",PRESENTE
NA,"CALLE LOBATÓN, DIGNA",PRESENTE
APP,"CAMONES SORIANO, LADY MERCEDES",PRESENTE
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRESENTE
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",PRESENTE
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",PRESENTE
FP,"CHACÓN TRUJILLO, NILZA MERLY",PRESENTE
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRESENTE
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",PRESENTE
PD,"CHÁVEZ CHINO, BETSSY BETZABET",LICENCIA_OFICIAL
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",PRESENTE
PL,"COAYLA JUÁREZ, JORGE SAMUEL",PRESENTE
FP,"CORDERO JON TAY, LUIS GUSTAVO",PRESENTE
FP,"CORDERO JON TAY, MARÍA DEL PILAR",PRESENTE
CD,"CORTEZ AGUIRRE, ISABEL",PRESENTE
PL,"CRUZ MAMANI, FLAVIO",PRESENTE
RP,"CUETO ASERVI, JOSÉ ERNESTO",PRESENTE
PL,"CUTIPA CCAMA, VÍCTOR RAÚL",AUSENTE
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",PRESENTE
AP,"DOROTEO CARBAJO, RAÚL FELIPE",PRESENTE
PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",PRESENTE
APP,"DÍAZ MONAGO, FREDDY RONALD",PRESENTE
APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",PRESENTE
PD,"ECHEVERRÍA RODRÍGUEZ, HAMLET",PRESENTE
SP,"ELERA GARCÍA, WILMAR ALBERTO",PRESENTE
NA,"ELÍAS ÁVALOS, JOSÉ LUIS",AUSENTE
AP,"ESPINOZA VARGAS, JHAEC DARWIN",PRESENTE
AP,"FLORES ANCACHI, JORGE LUIS",PRESENTE
PL,"FLORES RAMÍREZ, ALEX RANDU",LICENCIA_OFICIAL
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",PRESENTE
APP,"GARCÍA CORREA, IDELSO MANUEL",PRESENTE
PL,"GONZA CASTILLO, AMERICO",PRESENTE
AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",PRESENTE
FP,"GUERRA GARCÍA, CAMPOS HERNANDO",PRESENTE
PL,"GUTIÉRREZ TICONA, PAUL SILVIO",PRESENTE
RP,"HERRERA MEDINA, NOELIA ROSSVITH",PRESENTE
FP,"HUAMÁN CORONADO, RAÚL",PRESENTE
FP,"INFANTES CASTAÑEDA, MERY ELIANA",PRESENTE
SP,"JERI ORÉ, JOSÉ ENRIQUE",PRESENTE
FP,"JIMÉNEZ HEREDIA, DAVID JULIO",PRESENTE
APP,"JULON IRIGOIN, ELVA EDHIT",LICENCIA_OFICIAL
APP,"JUÁREZ CALLE, HEIDY LISBETH",PRESENTE
FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",PRESENTE
RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",PRESENTE
PD,"KAMICHE MORANTE, LUIS ROBERTO",LICENCIA_POR_ENFERMEDAD
PD,"LIMACHI QUISPE, NIEVES ESMERALDA",PRESENTE
