grupo_parlamentario,congresista,asistencia
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",PRESENTE
UDP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",AUSENTE
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",AUSENTE
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",PRESENTE
PP,"ALCARRAZ AGUERO, YOREL KIRA",PRESENTE
FP,"ALEGRÍA GARCÍA, ARTURO",AUSENTE
NA,"ALVA PRIETO, MARÍA DEL CARMEN",PRESENTE
NA,"ALVA ROJAS, CARLOS ENRIQUE",PRESENTE
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",PRESENTE
NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",AUSENTE
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",PRESENTE
NA,"ARRIOLA TUEROS, JOSÉ ALBERTO",PRESENTE
SP,"AZURÍN LOAYZA, ALFREDO",PRESENTE
PB,"BALCÁZAR ZELADA, JOSÉ MARÍA",PRESENTE
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",AUSENTE
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",AUSENTE
CD-JPP,"BAZÁN NARRO, SIGRID TESORO",PRESENTE
PB,"BELLIDO UGARTE, GUIDO",PRESENTE
CD-JPP,"BERMEJO ROJAS, GUILLERMO",PRESENTE
UDP,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUSENTE
FP,"BUSTAMANTE DONAYRE, ERNESTO",PRESENTE
PP,"CALLE LOBATÓN, DIGNA",PRESENTE
APP,"CAMONES SORIANO, LADY MERCEDES",AUSENTE
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRESENTE
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",AUSENTE
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",AUSENTE
FP,"CHACÓN TRUJILLO, NILZA MERLY",PRESENTE
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRESENTE
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",PRESENTE
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",PRESENTE
PB,"COAYLA JUÁREZ, JORGE SAMUEL",PRESENTE
UDP,"CORDERO JON TAY, LUIS GUSTAVO",LICENCIA_POR_ENFERMEDAD
NA,"CORDERO JON TAY, MARÍA DEL PILAR",LICENCIA_POR_ENFERMEDAD
CD-JPP,"CORTEZ AGUIRRE, ISABEL",AUSENTE
PL,"CRUZ MAMANI, FLAVIO",PRESENTE
RP,"CUETO ASERVI, JOSÉ ERNESTO",PRESENTE
NA,"CUTIPA CCAMA, VÍCTOR RAÚL",AUSENTE
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",AUSENTE
AP,"DOROTEO CARBAJO, RAÚL FELIPE",PRESENTE
BM,"DÁVILA ATANACIO, PASIÓN NEOMIAS",PRESENTE
RP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",PRESENTE
CD-JPP,"ECHEVERRÍA RODRÍGUEZ, HAMLET",AUSENTE
PP,"ELÍAS ÁVALOS, JOSÉ LUIS",AUSENTE
AP,"ESPINOZA VARGAS, JHAEC DARWIN",AUSENTE
AP,"FLORES ANCACHI, JORGE LUIS",PRESENTE
NA,"FLORES RAMÍREZ, ALEX RANDU",PRESENTE
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",PRESENTE
APP,"GARCÍA CORREA, IDELSO MANUEL",PRESENTE
PL,"GONZA CASTILLO, AMERICO",LICENCIA_OFICIAL
AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",PRESENTE
FP,"GUERRA GARCÍA, CAMPOS HERNANDO",AUSENTE
BM,"GUTIÉRREZ TICONA, PAUL SILVIO",AUSENTE
APP,"HEIDINGER BALLESTEROS, NELCY",AUSENTE
RP,"HERRERA MEDINA, NOELIA ROSSVITH",PRESENTE
FP,"HUAMÁN CORONADO, RAÚL",PRESENTE
FP,"INFANTES CASTAÑEDA, MERY ELIANA",AUSENTE
SP,"JERI ORÉ, JOSÉ ENRIQUE",PRESENTE
FP,"JIMÉNEZ HEREDIA, DAVID JULIO",AUSENTE
APP,"JULON IRIGOIN, ELVA EDHIT",LICENCIA_OFICIAL
PP,"JUÁREZ CALLE, HEIDY LISBETH",PRESENTE
FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",AUSENTE
RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",AUSENTE
CD-JPP,"KAMICHE MORANTE, LUIS ROBERTO",PRESENTE
