grupo_parlamentario,congresista,asistencia
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",PRESENTE
APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",AUSENTE
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",AUSENTE
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",PRESENTE
SP,"ALCARRAZ AGUERO, YOREL KIRA",LICENCIA_POR_ENFERMEDAD
FP,"ALEGRÍA GARCÍA, ARTURO",AUSENTE
AP,"ALVA PRIETO, MARÍA DEL CARMEN",PRESENTE
AP,"ALVA ROJAS, CARLOS ENRIQUE",PRESENTE
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",PRESENTE
NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",AUSENTE
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",PRESENTE
AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",AUSENTE
SP,"AZURÍN LOAYZA, ALFREDO",PRESENTE
PB,"BALCÁZAR ZELADA, JOSÉ MARÍA",PRESENTE
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",AUSENTE
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",AUSENTE
CD-JPP,"BAZÁN NARRO, SIGRID TESORO",PRESENTE
PL,"BELLIDO UGARTE, GUIDO",PRESENTE
PD,"BERMEJO ROJAS, GUILLERMO",AUSENTE
AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUSENTE
FP,"BUSTAMANTE DONAYRE, ERNESTO",PRESENTE
NA,"CALLE LOBATÓN, DIGNA",AUSENTE
APP,"CAMONES SORIANO, LADY MERCEDES",PRESENTE
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRESENTE
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",AUSENTE
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",LICENCIA_OFICIAL
FP,"CHACÓN TRUJILLO, NILZA MERLY",PRESENTE
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRESENTE
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",LICENCIA_PERSONAL
PD,"CHÁVEZ CHINO, BETSSY BETZABET",LICENCIA_PERSONAL
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",PRESENTE
PB,"COAYLA JUÁREZ, JORGE SAMUEL",PRESENTE
FP,"CORDERO JON TAY, LUIS GUSTAVO",PRESENTE
FP,"CORDERO JON TAY, MARÍA DEL PILAR",PRESENTE
CD-JPP,"CORTEZ AGUIRRE, ISABEL",PRESENTE
PL,"CRUZ MAMANI, FLAVIO",PRESENTE
RP,"CUETO ASERVI, JOSÉ ERNESTO",PRESENTE
PB,"CUTIPA CCAMA, VÍCTOR RAÚL",PRESENTE
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",PRESENTE
AP,"DOROTEO CARBAJO, RAÚL FELIPE",PRESENTE
BM,"DÁVILA ATANACIO, PASIÓN NEOMIAS",PRESENTE
APP,"DÍAZ MONAGO, FREDDY RONALD",PRESENTE
APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",AUSENTE
PD,"ECHEVERRÍA RODRÍGUEZ, HAMLET",PRESENTE
SP,"ELERA GARCÍA, WILMAR ALBERTO",AUSENTE
NA,"ELÍAS ÁVALOS, JOSÉ LUIS",PRESENTE
AP,"ESPINOZA VARGAS, JHAEC DARWIN",AUSENTE
AP,"FLORES ANCACHI, JORGE LUIS",PRESENTE
PL,"FLORES RAMÍREZ, ALEX RANDU",PRESENTE
FP,"FLORES RUÍZ, VÍCTOR SEFERINO",PRESENTE
APP,"GARCÍA CORREA, IDELSO MANUEL",PRESENTE
PL,"GONZA CASTILLO, AMERICO",PRESENTE
AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",PRESENTE
FP,"GUERRA GARCÍA, CAMPOS HERNANDO",PRESENTE
BM,"GUTIÉRREZ TICONA, PAUL SILVIO",PRESENTE
RP,"HERRERA MEDINA, NOELIA ROSSVITH",PRESENTE
FP,"HUAMÁN CORONADO, RAÚL",PRESENTE
FP,"INFANTES CASTAÑEDA, MERY ELIANA",PRESENTE
SP,"JERI ORÉ, JOSÉ ENRIQUE",AUSENTE
FP,"JIMÉNEZ HEREDIA, DAVID JULIO",AUSENTE
APP,"JULON IRIGOIN, ELVA EDHIT",AUSENTE
APP,"JUÁREZ CALLE, HEIDY LISBETH",AUSENTE
FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",AUSENTE
RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",AUSENTE
PD,"KAMICHE MORANTE, LUIS ROBERTO",PRESENTE
PD,"LIMACHI QUISPE, NIEVES ESMERALDA",PRESENTE
FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",AUSENTE
NA,"LUNA GÁLVEZ, JOSÉ LEÓN",AUSENTE
CD-JPP,"LUQUE IBARRA, RUTH",PRESENTE
FP,"LÓPEZ MORALES, JENY LUZ",LICENCIA_PERSONAL
AP,"LÓPEZ UREÑA, ILICH FREDY",PRESENTE
PB,"MARTICORENA MENDOZA, JORGE ALFONSO",PRESENTE
AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",PRESENTE
BM,"MEDINA HERMOSILLA, ELIZABETH SARA",PRESENTE
RP,"MEDINA MINAYA, ESDRAS RICARDO",PRESENTE
PL,"MONTALVO CUBAS, SEGUNDO TORIBIO",PRESENTE
AP,"MONTEZA FACHO, SILVIA MARÍA",PRESENTE
RP,"MONTOYA MANRIQUE, JORGE CARLOS",AUSENTE
FP,"MORANTE FIGARI, JORGE ALBERTO",PRESENTE
AP,"MORI CELIS, JUAN CARLOS",LICENCIA_OFICIAL
FP,"MOYANO DELGADO, MARTHA LUPE",PRESENTE
RP,"MUÑANTE BARRIOS, ALEJANDRO",AUSENTE
NA,"MÁLAGA TRILLO, GEORGE EDWARD",PRESENTE
FP,"OBANDO MORGAN, AURISTELA ANA",PRESENTE
FP,"OLIVOS MARTÍNEZ, VIVIAN",AUSENTE
NA,"PABLO MEDINA, FLOR AIDEE",PRESENTE
RP,"PADILLA ROMERO, JAVIER ROMMEL",PRESENTE
PL,"PALACIOS HUÁMAN, MARGOT",PRESENTE
BM,"PAREDES CASTRO, FRANCIS JHASMINA",PRESENTE
AP,"PAREDES FONSECA, KAROL IVETT",PRESENTE
BM,"PAREDES GONZALES, ALEX ANTONIO",PRESENTE
