numero,grupo_parlamentario,congresista,votacion
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",SI
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",AUS
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",SI
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",NO
5,SP,"ALCARRAZ AGUERO, YOREL KIRA",SI
6,FP,"ALEGRÍA GARCÍA, ARTURO",NO
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUS
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",SI
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",SINRES
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",AUS
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",SI
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",LE
13,SP,"AZURÍN LOAYZA, ALFREDO",SI
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",SI
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",AUS
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI
17,JP,"BAZÁN NARRO, SIGRID TESORO",SI
18,PL,"BELLIDO UGARTE, GUIDO",AUS
19,PL,"BERMEJO ROJAS, GUILLERMO",SI
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUS
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",NO
22,PP,"CALLE LOBATÓN, DIGNA",SI
23,APP,"CAMONES SORIANO, LADY MERCEDES",AUS
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",NO
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",LO
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",AUS
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",NO
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",LO
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",AUS
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",LO
