grupo_parlamentario,congresista,asistencia
APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",PRESENTE
NA,"ACUÑA PERALTA, SEGUNDO HÉCTOR",LICENCIA_OFICIAL
FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",AUSENTE
PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",PRESENTE
PP,"ALCARRAZ AGUERO, YOREL KIRA",AUSENTE
FP,"ALEGRÍA GARCÍA, ARTURO",AUSENTE
AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUSENTE
NA,"ALVA ROJAS, CARLOS ENRIQUE",PRESENTE
AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",AUSENTE
NA,"ANDERSON RAMÍREZ, CARLOS ANTONIO",AUSENTE
AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",PRESENTE
AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",LICENCIA_POR_ENFERMEDAD
SP,"AZURÍN LOAYZA, ALFREDO",PRESENTE
PB,"BALCÁZAR ZELADA, JOSÉ MARÍA",PRESENTE
FP,"BARBARÁN REYES, ROSANGELLA ANDREA",AUSENTE
AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",AUSENTE
CD-JPP,"BAZÁN NARRO, SIGRID TESORO",PRESENTE
PB,"BELLIDO UGARTE, GUIDO",PRESENTE
CD-JPP,"BERMEJO ROJAS, GUILLERMO",PRESENTE
NA,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUSENTE
FP,"BUSTAMANTE DONAYRE, ERNESTO",PRESENTE
PP,"CALLE LOBATÓN, DIGNA",LICENCIA_PERSONAL
APP,"CAMONES SORIANO, LADY MERCEDES",AUSENTE
FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRESENTE
AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",AUSENTE
PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",AUSENTE
FP,"CHACÓN TRUJILLO, NILZA MERLY",AUSENTE
APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRESENTE
AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",PRESENTE
RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",AUSENTE
PB,"COAYLA JUÁREZ, JORGE SAMUEL",AUSENTE
FP,"CORDERO JON TAY, LUIS GUSTAVO",LICENCIA_POR_ENFERMEDAD
NA,"CORDERO JON TAY, MARÍA DEL PILAR",LICENCIA_POR_ENFERMEDAD
CD-JPP,"CORTEZ AGUIRRE, ISABEL",PRESENTE
PL,"CRUZ MAMANI, FLAVIO",PRESENTE
RP,"CUETO ASERVI, JOSÉ ERNESTO",PRESENTE
PB,"CUTIPA CCAMA, VÍCTOR RAÚL",PRESENTE
AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",AUSENTE
AP,"DOROTEO CARBAJO, RAÚL FELIPE",AUSENTE
