numero,grupo_parlamentario,congresista,votacion
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",SI
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",SI
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",NO
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",SI
5,SP,"ALCARRAZ AGUERO, YOREL KIRA",SI
6,FP,"ALEGRÍA GARCÍA, ARTURO",SI
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",SINRES
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",AUS
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",SI
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",SI
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",SI
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",SI
13,SP,"AZURÍN LOAYZA, ALFREDO",SI
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",SI
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",SI
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI
17,JP,"BAZÁN NARRO, SIGRID TESORO",NO
18,PL,"BELLIDO UGARTE, GUIDO",SI
19,PL,"BERMEJO ROJAS, GUILLERMO",SI
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",SI
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",SI
22,PP,"CALLE LOBATÓN, DIGNA",SI
23,APP,"CAMONES SORIANO, LADY MERCEDES",SI
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",SI
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",SI
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",SI
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",SI
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",LO
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",SI
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",NO
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",SI
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",SI
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",SI
36,JP,"CORTEZ AGUIRRE, ISABEL",NO
37,PL,"CRUZ MAMANI, FLAVIO",SI
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",SI
39,PL,"CUTIPA CCAMA, VÍCTOR RAÚL",SI
40,PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",SI
41,APP,"DÍAZ MONAGO, FREDDY RONALD",SI
42,AP,"DOROTEO CARBAJO, RAÚL FELIPE",SI
43,APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",SI
44,PL,"ECHEVERRÍA RODRÍGUEZ, HAMLET",NO
45,SP,"ELERA GARCÍA, WILMAR ALBERTO",LO
46,PP,"ELÍAS ÁVALOS, JOSÉ LUIS",SI
47,AP,"ESPINOZA VARGAS, JHAEC DARWIN",SI
48,AP,"FLORES ANCACHI, JORGE LUIS",SI
49,PL,"FLORES RAMÍREZ, ALEX RANDU",LO
50,FP,"FLORES RUÍZ, VÍCTOR SEFERINO",SI
51,APP,"GARCÍA CORREA, IDELSO MANUEL",SI
52,PL,"GONZA CASTILLO, AMERICO",SI
53,AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",SI
54,FP,"GUERRA GARCÍA, CAMPOS HERNANDO",SI
55,PL,"GUTIÉRREZ TICONA, PAUL SILVIO",NO
56,RP,"HERRERA MEDINA, NOELIA ROSSVITH",SI
57,FP,"HUAMÁN CORONADO, RAÚL",SI
58,FP,"INFANTES CASTAÑEDA, MERY ELIANA",SI
59,RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",SI
60,SP,"JERI ORÉ, JOSÉ ENRIQUE",ABST
61,FP,"JIMÉNEZ HEREDIA, DAVID JULIO",SI
62,APP,"JUÁREZ CALLE, HEIDY LISBETH",LO
63,FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",SI
64,APP,"JULON IRIGOIN, ELVA EDHIT",LE
65,PL,"KAMICHE MORANTE, LUIS ROBERTO",LE
66,PL,LIMACHI QUISPE, NIEVES ESMERALDA,NO
67,FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",SI
68,FP,"LÓPEZ MORALES, JENY LUZ",SI
69,AP,"LÓPEZ UREÑA, ILICH FREDY",SI
70,PP,"LUNA GÁLVEZ, JOSÉ LEÓN",AUS
71,JP,"LUQUE IBARRA, RUTH",NO
